Time,Latitude,Longitude,Course,Speed,Altitude,Humidity,Temperature,Pressure,roll,pitch,yaw,x,y,z,Speed
12:27:47,37.11348535,-87.92861722,212,34,6295.00,3.56,39.17,493.48,330.57,330.96,293.95,-19,-28.41,-6.11,48.152
12:29:00,,,213,35,7010.00,3.01,38.34,471.98,345,351.39,254.48,-23.91,-15.05,-3.45,59.264
12:29:47,37.11808242,-87.91334615,214,36,7010.00,3.79,37.54,450.99,357.19,335.5,166.82,-4.28,-7.14,-5.25,59.264
12:31:00,,,215,37,7747.00,5.05,36.61,429.47,348.39,347.91,242.41,-25.97,-16.76,-6.61,50.004
12:31:47,37.122,-87.89748901,216,38,7747.00,4.04,35.57,409.81,23.87,347.07,91.92,-6.39,-16.31,-8.71,50.004
12:33:00,,,217,39,8458.00,4.37,34.64,390.57,2.52,31.32,329.71,-24.2,1.86,-4.35,29.632
12:33:47,37.12308974,-87.8844011,218,40,8458.00,5,33.87,370.54,306.01,328.7,113.38,-31.98,-21.16,-5.82,29.632
12:35:00,,,219,41,9175.00,2.83,32.8,353.69,329.41,358.07,194.48,-29.27,-6.33,-2.64,38.892
12:35:48,37.12356593,-87.86953663,220,42,9175.00,2.75,31.84,334.88,27.46,339.16,263.29,-27.06,-7.53,-5.39,38.892
12:37:00,,,221,43,9854.00,1.5,30.78,319.89,5.57,350.99,76.54,-21.48,-30.97,-8.82,31.484
12:37:48,37.12272344,-87.85367582,222,44,9854.00,1.54,29.9,305.3,307.88,13.05,273.05,-31,-19.19,-4.27,31.484
12:39:00,,,223,45,10521.00,0.96,28.67,291.06,342.91,5.51,271.73,-22,-13.42,-5.44,50.004
12:39:49,37.11949451,-87.83936081,224,46,10521.00,0.24,27.76,277.4,351.22,17.15,311.91,-13.67,-12.44,-5.63,50.004
12:41:00,,,225,47,11224.00,0,26.65,264.23,0.9,16.53,325.15,-23.87,-15.39,-3.67,72.228
12:41:49,37.11041392,-87.82200366,226,48,11224.00,0,25.58,251.11,14.08,355.63,304.51,-12.16,-20.58,-5.4,72.228
12:43:00,,,227,49,11897.00,0,24.47,237.83,341.91,9.18,144.88,-5.33,-13.86,-5.56,59.264
12:43:49,37.0992967,-87.80391392,228,50,11897.00,0,23.45,225.91,351.19,22.5,151.39,-29.27,-29.7,-8.61,59.264
12:45:00,,,229,51,12622.00,0,22.06,213.87,352.81,30.03,354.33,-33.04,-11.71,-5.09,81.488
12:45:49,37.0905293,-87.78219597,230,52,12622.00,0,20.98,202.86,351.37,2.31,32.26,-23.74,-14.4,-5.91,81.488
12:47:00,,,231,53,13339.00,0,19.87,190.17,330.19,24.25,27.03,-17.54,-17.23,-10.6,75.932
12:47:49,37.08174725,-87.76191941,232,54,13339.00,0,18.68,178.9,23.87,318.9,136.61,-12.87,-12.55,-2.95,75.932
12:49:00,,,233,55,14014.00,0,17.5,169.5,17.52,31.29,268.43,-26.72,-15.44,-11.09,59.264
12:49:49,37.07945604,-87.74049084,234,56,14014.00,0,16.19,159.86,327,343.57,346.28,-19.73,-25.68,-9.03,59.264
12:51:00,,,235,57,14675.00,0,15.08,151.4,8.33,38.59,142.83,-47.8,-20.51,-15.16,50.004
